Post,Title,Comment,Query,Contents
1,About the Copter Simulation category,0,Discussions area for * (SITL) * related to copter,
2,Read first: How to use this forum,0,"Welcome to the APM:Copter forum! Before posting, please check the *, review the firmware release notes in the subforum, and search this subforum for existing answers to your question. Help avoid duplicate threads by finding other operators with the same issue. When formulating your post, use a descriptive title such as “Copter altitude not stable in alt hold mode” (not “HELP!” or “Problem”). Please include the following information to help diagnose your query: [ul][li]Describe the problem you are having. What is the expected verses the observed behavior?[/li] [li]Provide hardware information such as the brand and version of your autopilot, GPS, radio, and compass, as well as any other pertinent details about your setup.[/li] [li]What version of the APM:Copter firmware version are you running?[/li] [li]For flight issues, provide your dataflash log. * for instructions on retrieving a dataflash log.[/li][/ul]",
3,AP: Arm: Roll (RC1) is not neutral,1,If I load joystick module “module load joystick” I can’t arm throttle because of error messages:  * It looks to me that there is some issue with the deadzone of the joypad but I don’t know how to configure it. Can someone help?,have you done the radio calibration yet? that should possibly solve the issue
3,AP: Arm: Roll (RC1) is not neutral,2,If I load joystick module “module load joystick” I can’t arm throttle because of error messages:  * It looks to me that there is some issue with the deadzone of the joypad but I don’t know how to configure it. Can someone help?,I don’t know how to try radio calibration. What I have learned so far is how to run SITL with sim_vehicle.py script and load joystick module. I tried searching for radio calibration but the only link that looks related is radio calibration for Mission Planner (*). As far as I understand sim_vehicle.py is not running mission planner. How can I do radio calibration with my setup (SITL)? This is how I start my simulation:
3,AP: Arm: Roll (RC1) is not neutral,3,If I load joystick module “module load joystick” I can’t arm throttle because of error messages:  * It looks to me that there is some issue with the deadzone of the joypad but I don’t know how to configure it. Can someone help?,shoot sorry I didn’t read where this was posted sorry I am also very new at simulation so I am afraid I cannot be much help. But will also poke around see what I can find
4,GPS is not healthy with Airsim,1,"Hi everyone, I’m trying to simulate ardupilot with airsim simulation. I’ve installed an ubuntu 18.04 in my machine and I’ve installed all the prerequisites by Tools/environment_install/install-prereqs-ubuntu.sh script. I downloaded the binary “Blocks” from airsim main page. Everything works fine but when I send a command to takeoff (for example), the console shows the next message: APM: PreArm: GPS is not healthy what is my mistake here??? thank you all","Hello Yes I confirm, I have this APM: PreArm: GPS is not healthy error as well. I reverted to 4.2 and it works ok * are you still active on the dev ?"
4,GPS is not healthy with Airsim,2,"Hi everyone, I’m trying to simulate ardupilot with airsim simulation. I’ve installed an ubuntu 18.04 in my machine and I’ve installed all the prerequisites by Tools/environment_install/install-prereqs-ubuntu.sh script. I downloaded the binary “Blocks” from airsim main page. Everything works fine but when I send a command to takeoff (for example), the console shows the next message: APM: PreArm: GPS is not healthy what is my mistake here??? thank you all","I’ve had frequent GPS not healthy errors before, but they generally clear after a few seconds, just initializing I guess. Haven’t kept myself up to date with exactly what changed in between, maybe the GPS checks got a bit more tighter? I’ll try out the latest AP master and test, will post if there are any updates. But might take some time, potentially next week. * Yeah, still active, but less frequent since semester is going on and too much of stuff to do, mostly responding on some issues or small bug-fixes, rebasing old PRs, and some review stuff. One possibility could be that AirSim follows a simpler conversion from NED<->GPS, * has some info and links, might be causing the problem."
4,GPS is not healthy with Airsim,3,"Hi everyone, I’m trying to simulate ardupilot with airsim simulation. I’ve installed an ubuntu 18.04 in my machine and I’ve installed all the prerequisites by Tools/environment_install/install-prereqs-ubuntu.sh script. I downloaded the binary “Blocks” from airsim main page. Everything works fine but when I send a command to takeoff (for example), the console shows the next message: APM: PreArm: GPS is not healthy what is my mistake here??? thank you all","OK  I got it , The SITL directory has changed and we need to take the parameter file directly from default : cd ardupilot/ArduCopter …/Tools/autotest/sim_vehicle.py -v ArduCopter --console --map --add-param-file=…/Tools/autotest/default_params/airsim-quadX.parm"
4,GPS is not healthy with Airsim,4,"Hi everyone, I’m trying to simulate ardupilot with airsim simulation. I’ve installed an ubuntu 18.04 in my machine and I’ve installed all the prerequisites by Tools/environment_install/install-prereqs-ubuntu.sh script. I downloaded the binary “Blocks” from airsim main page. Everything works fine but when I send a command to takeoff (for example), the console shows the next message: APM: PreArm: GPS is not healthy what is my mistake here??? thank you all","well… no  there is something deeper into this issue for the moment , revert back to Copter-4.0 Or DISABLE ARMING CHECK  "
4,GPS is not healthy with Airsim,5,"Hi everyone, I’m trying to simulate ardupilot with airsim simulation. I’ve installed an ubuntu 18.04 in my machine and I’ve installed all the prerequisites by Tools/environment_install/install-prereqs-ubuntu.sh script. I downloaded the binary “Blocks” from airsim main page. Everything works fine but when I send a command to takeoff (for example), the console shows the next message: APM: PreArm: GPS is not healthy what is my mistake here??? thank you all",hello，how to DISABLE ARMING CHECK? thanks
