Post,Title,Comment,Query,Contents
1,About the Single/Coax category,0,This category is for support discussion on the Single Copter and Coax Copter frame types. Wiki: *,
2,SingleCopter of Benjamin Prescher on Ardupilot,1,"Hi everyone, I am trying to make the singlecopter featured by Benjamin Prescher on Hackaday * but working with Ardupilot. I never made a singlecopter and I still have a lot to learn to make it work, so I share data so that more members of the forum are encouraged to assemble it and try to make this work. My progress so far is as follows, watch the video: * *  It still does not respond as it should, the thrust motor seems uncontrollable, it maintains a high speed that does not respond to the transmitter, and the blades do not know if they work as fast as they should, parameters will have to be checked. I have followed the documentation at  https://ardupilot.org/copter/docs/singlecopter-and-coaxcopter.html Components for Ardupilot compatibility:  F4 Omnibus PRO Rest of components indicated in Hackaday CAD files at https://www.thingiverse.com/thing:4635873/files   I await your answers, advice, and if you dare to carry out the same project, GREAT, a more detailed guide to the process could be carried out later, and improve the design, where a server has more control.","Cool, a new single copter friend ! ^^ Can’t help you much more than basic advice for your main motor  (calibration, pin 5, stabilize flight mode … ?). You seem to have some experience so I assume you’ve already done that and checked the logs. For the flaps some of them could be reversed (ones pointing at the camera), not sure though. The response when rotating the copter doesn’t seem that wrong, test the yaw first because it’s obvious when something is wrong with it. (from memory) Most of the Pitch/Roll correction from the flaps will be visible when the copter has a rotational speed. Also the copter sits on the table armed for quite a while, so some of the I from the PIDs could make interpreting the movement difficult, you can set I to 0 and test without."
2,SingleCopter of Benjamin Prescher on Ardupilot,2,"Hi everyone, I am trying to make the singlecopter featured by Benjamin Prescher on Hackaday * but working with Ardupilot. I never made a singlecopter and I still have a lot to learn to make it work, so I share data so that more members of the forum are encouraged to assemble it and try to make this work. My progress so far is as follows, watch the video: * *  It still does not respond as it should, the thrust motor seems uncontrollable, it maintains a high speed that does not respond to the transmitter, and the blades do not know if they work as fast as they should, parameters will have to be checked. I have followed the documentation at  https://ardupilot.org/copter/docs/singlecopter-and-coaxcopter.html Components for Ardupilot compatibility:  F4 Omnibus PRO Rest of components indicated in Hackaday CAD files at https://www.thingiverse.com/thing:4635873/files   I await your answers, advice, and if you dare to carry out the same project, GREAT, a more detailed guide to the process could be carried out later, and improve the design, where a server has more control.","Hello, I don’t know how well Motor test will work since the motor is on Servo5 and not in its usual pinout, due to it being in SingleCopter, but can you try and use motor test to send different throttle (5% or 10%) to the motor? More info here: * Also, have you calibrated ESC? *"
2,SingleCopter of Benjamin Prescher on Ardupilot,3,"Hi everyone, I am trying to make the singlecopter featured by Benjamin Prescher on Hackaday * but working with Ardupilot. I never made a singlecopter and I still have a lot to learn to make it work, so I share data so that more members of the forum are encouraged to assemble it and try to make this work. My progress so far is as follows, watch the video: * *  It still does not respond as it should, the thrust motor seems uncontrollable, it maintains a high speed that does not respond to the transmitter, and the blades do not know if they work as fast as they should, parameters will have to be checked. I have followed the documentation at  https://ardupilot.org/copter/docs/singlecopter-and-coaxcopter.html Components for Ardupilot compatibility:  F4 Omnibus PRO Rest of components indicated in Hackaday CAD files at https://www.thingiverse.com/thing:4635873/files   I await your answers, advice, and if you dare to carry out the same project, GREAT, a more detailed guide to the process could be carried out later, and improve the design, where a server has more control.","Now that you mention it, it is possible that I miscalibrated the ESC. At first it worked correctly even when it was connected to pin 5, in that aspect there was no problem. This weekend I will try to correctly calibrate the ESC, and verify the movement of the blades. I will attach video in case someone wants to replicate the project. Every question gives new ideas, thanks friends."
2,SingleCopter of Benjamin Prescher on Ardupilot,4,"Hi everyone, I am trying to make the singlecopter featured by Benjamin Prescher on Hackaday * but working with Ardupilot. I never made a singlecopter and I still have a lot to learn to make it work, so I share data so that more members of the forum are encouraged to assemble it and try to make this work. My progress so far is as follows, watch the video: * *  It still does not respond as it should, the thrust motor seems uncontrollable, it maintains a high speed that does not respond to the transmitter, and the blades do not know if they work as fast as they should, parameters will have to be checked. I have followed the documentation at  https://ardupilot.org/copter/docs/singlecopter-and-coaxcopter.html Components for Ardupilot compatibility:  F4 Omnibus PRO Rest of components indicated in Hackaday CAD files at https://www.thingiverse.com/thing:4635873/files   I await your answers, advice, and if you dare to carry out the same project, GREAT, a more detailed guide to the process could be carried out later, and improve the design, where a server has more control.","Hello everyone again, i think i’m starting to see the problem, i comment: Indeed the ESC was poorly calibrated, it is a T-Motor F35A BLHeli32 Dshot1200, the curious thing begins now. In singlecopter the ailerons are configured as motors, but they are servos, so if the protocol is PWM everything is fine, but if it is Dshot they no longer work, and the thrust motor does. I don’t know if it is possible to choose a separate protocol for the motors inside ArduPilot, servo_protocol for the thrust motor in Dshot and servo_protocol for PWM ailerons. That would be a solution to implement. The alternative is to use an ESC that runs under PWM. I’ll see if I can find one, and check if that would be a solution. On the other hand, could someone give a more concise explanation about what should be the movement of the ailerons according to pitch, roll and yaw?"
2,SingleCopter of Benjamin Prescher on Ardupilot,5,"Hi everyone, I am trying to make the singlecopter featured by Benjamin Prescher on Hackaday * but working with Ardupilot. I never made a singlecopter and I still have a lot to learn to make it work, so I share data so that more members of the forum are encouraged to assemble it and try to make this work. My progress so far is as follows, watch the video: * *  It still does not respond as it should, the thrust motor seems uncontrollable, it maintains a high speed that does not respond to the transmitter, and the blades do not know if they work as fast as they should, parameters will have to be checked. I have followed the documentation at  https://ardupilot.org/copter/docs/singlecopter-and-coaxcopter.html Components for Ardupilot compatibility:  F4 Omnibus PRO Rest of components indicated in Hackaday CAD files at https://www.thingiverse.com/thing:4635873/files   I await your answers, advice, and if you dare to carry out the same project, GREAT, a more detailed guide to the process could be carried out later, and improve the design, where a server has more control.","You can have different protocols on outputs but within timing groups they have to be the same. So, here is the ouput info from the Omni F4 Pro Hwdef file. Note the outputs and timers:  Put Dshot on one timing group and PWM on another. Read thru this Wiki for how to configure that with available parameters: *"
2,SingleCopter of Benjamin Prescher on Ardupilot,6,"Hi everyone, I am trying to make the singlecopter featured by Benjamin Prescher on Hackaday * but working with Ardupilot. I never made a singlecopter and I still have a lot to learn to make it work, so I share data so that more members of the forum are encouraged to assemble it and try to make this work. My progress so far is as follows, watch the video: * *  It still does not respond as it should, the thrust motor seems uncontrollable, it maintains a high speed that does not respond to the transmitter, and the blades do not know if they work as fast as they should, parameters will have to be checked. I have followed the documentation at  https://ardupilot.org/copter/docs/singlecopter-and-coaxcopter.html Components for Ardupilot compatibility:  F4 Omnibus PRO Rest of components indicated in Hackaday CAD files at https://www.thingiverse.com/thing:4635873/files   I await your answers, advice, and if you dare to carry out the same project, GREAT, a more detailed guide to the process could be carried out later, and improve the design, where a server has more control.","Hello everyone, after not a few tries and tests the drone pot flies! The next step will be to implement it in ArduPilot already with an appropriate ESC and a specific design to be able to incorporate GPS and other systems. At the moment working with Betaflight on the Omnibus F4 PRO. I don’t like that this board doesn’t have a magnetometer. It’s so exciting to see it finally behave like something we’re used to, I’ll keep updating this thread. Youtube video list: * Youtube video flies: *"
2,SingleCopter of Benjamin Prescher on Ardupilot,7,"Hi everyone, I am trying to make the singlecopter featured by Benjamin Prescher on Hackaday * but working with Ardupilot. I never made a singlecopter and I still have a lot to learn to make it work, so I share data so that more members of the forum are encouraged to assemble it and try to make this work. My progress so far is as follows, watch the video: * *  It still does not respond as it should, the thrust motor seems uncontrollable, it maintains a high speed that does not respond to the transmitter, and the blades do not know if they work as fast as they should, parameters will have to be checked. I have followed the documentation at  https://ardupilot.org/copter/docs/singlecopter-and-coaxcopter.html Components for Ardupilot compatibility:  F4 Omnibus PRO Rest of components indicated in Hackaday CAD files at https://www.thingiverse.com/thing:4635873/files   I await your answers, advice, and if you dare to carry out the same project, GREAT, a more detailed guide to the process could be carried out later, and improve the design, where a server has more control.",Congratulations! Very cool!
2,SingleCopter of Benjamin Prescher on Ardupilot,8,"Hi everyone, I am trying to make the singlecopter featured by Benjamin Prescher on Hackaday * but working with Ardupilot. I never made a singlecopter and I still have a lot to learn to make it work, so I share data so that more members of the forum are encouraged to assemble it and try to make this work. My progress so far is as follows, watch the video: * *  It still does not respond as it should, the thrust motor seems uncontrollable, it maintains a high speed that does not respond to the transmitter, and the blades do not know if they work as fast as they should, parameters will have to be checked. I have followed the documentation at  https://ardupilot.org/copter/docs/singlecopter-and-coaxcopter.html Components for Ardupilot compatibility:  F4 Omnibus PRO Rest of components indicated in Hackaday CAD files at https://www.thingiverse.com/thing:4635873/files   I await your answers, advice, and if you dare to carry out the same project, GREAT, a more detailed guide to the process could be carried out later, and improve the design, where a server has more control.","Running an F4 Omnibus PRO, the next step will be something new with ArduPilot. The conclusions for new ones who want to make this model is that it is very unstable in the wind, the center of mass is too high. But it’s a lot of fun! that’s true. Use a T-Motor VELOX V2306 at 2400kv, otherwise I am sure it will burn it out. I burned the first engine, the latter is doing very well. With Betaflight I have achieved 7 minutes of real flight with a 1300mAh 3S LiPo battery. Here is the last video of this design:"
2,SingleCopter of Benjamin Prescher on Ardupilot,9,"Hi everyone, I am trying to make the singlecopter featured by Benjamin Prescher on Hackaday * but working with Ardupilot. I never made a singlecopter and I still have a lot to learn to make it work, so I share data so that more members of the forum are encouraged to assemble it and try to make this work. My progress so far is as follows, watch the video: * *  It still does not respond as it should, the thrust motor seems uncontrollable, it maintains a high speed that does not respond to the transmitter, and the blades do not know if they work as fast as they should, parameters will have to be checked. I have followed the documentation at  https://ardupilot.org/copter/docs/singlecopter-and-coaxcopter.html Components for Ardupilot compatibility:  F4 Omnibus PRO Rest of components indicated in Hackaday CAD files at https://www.thingiverse.com/thing:4635873/files   I await your answers, advice, and if you dare to carry out the same project, GREAT, a more detailed guide to the process could be carried out later, and improve the design, where a server has more control.","Great job ! I’m excited to see what will happen with Ardupilot on it. Be careful to not fall for the * by saying that. The height of the CoM does not impact stability much, and higher (further from the flaps) is better for the single copter frame (creates higher torque). If you had something else in mind, I’d be interested to here what causes the higher instability."
