Post,Title,Comment,Query,Contents
1,About the Copter 4.3 category,1,This category is for discussion of issues with Copter 4.3,*
2,Enable Wind Estimation,1,"Hi I am trying to enable the wind estimation feature through Mission Planner, I went through the page *,  in the section "" Viewing Windspeed and Direction in Real-Time"" it says “once enabled”, how to enable this? drone firmware version : Arducoptor V4.3.1 Mission planner : 1.3.79 build 1.3.8378.24878",I suppose with the BARO1_WCF_ENABLE parameter.
2,Enable Wind Estimation,2,"Hi I am trying to enable the wind estimation feature through Mission Planner, I went through the page *,  in the section "" Viewing Windspeed and Direction in Real-Time"" it says “once enabled”, how to enable this? drone firmware version : Arducoptor V4.3.1 Mission planner : 1.3.79 build 1.3.8378.24878","Thank you for the reply! I checked BARO1_WCF_ENABLE is 1, but I still don’t see windspeed and directions in MP Quick. I also checked EK3_DRAG_BCOEF X, Y MCOEF all set with values. I am wondering if there is something else I need to set up to enable the wind estimation?"
2,Enable Wind Estimation,3,"Hi I am trying to enable the wind estimation feature through Mission Planner, I went through the page *,  in the section "" Viewing Windspeed and Direction in Real-Time"" it says “once enabled”, how to enable this? drone firmware version : Arducoptor V4.3.1 Mission planner : 1.3.79 build 1.3.8378.24878",I admit I have not tried this feature. There is a video abut it from Mr. Riseborough: *
2,Enable Wind Estimation,4,"Hi I am trying to enable the wind estimation feature through Mission Planner, I went through the page *,  in the section "" Viewing Windspeed and Direction in Real-Time"" it says “once enabled”, how to enable this? drone firmware version : Arducoptor V4.3.1 Mission planner : 1.3.79 build 1.3.8378.24878","Thank you for providing the video, I also went through this when reading that webpage. I set up all coefficients mentioned on the page but seems no data change or transmission in both wind direction and wind speed…"
2,Enable Wind Estimation,5,"Hi I am trying to enable the wind estimation feature through Mission Planner, I went through the page *,  in the section "" Viewing Windspeed and Direction in Real-Time"" it says “once enabled”, how to enable this? drone firmware version : Arducoptor V4.3.1 Mission planner : 1.3.79 build 1.3.8378.24878",Are you using ArduCopter 4.3.2-rc1 ? You should.
2,Enable Wind Estimation,6,"Hi I am trying to enable the wind estimation feature through Mission Planner, I went through the page *,  in the section "" Viewing Windspeed and Direction in Real-Time"" it says “once enabled”, how to enable this? drone firmware version : Arducoptor V4.3.1 Mission planner : 1.3.79 build 1.3.8378.24878",Hi Thank you for responding! Is it possible to enable this in FM version 4.2?
2,Enable Wind Estimation,7,"Hi I am trying to enable the wind estimation feature through Mission Planner, I went through the page *,  in the section "" Viewing Windspeed and Direction in Real-Time"" it says “once enabled”, how to enable this? drone firmware version : Arducoptor V4.3.1 Mission planner : 1.3.79 build 1.3.8378.24878",(post deleted by author)
2,Enable Wind Estimation,8,"Hi I am trying to enable the wind estimation feature through Mission Planner, I went through the page *,  in the section "" Viewing Windspeed and Direction in Real-Time"" it says “once enabled”, how to enable this? drone firmware version : Arducoptor V4.3.1 Mission planner : 1.3.79 build 1.3.8378.24878","I updated a CUBE Black to the 4.3.2-rc1 version, and also put BARO1_WCF_ENABLE as 1 EK3_DRAG_BCOEF X, Y MCOEF with some values. EK3_ENABLE = 1 EK2_ENAVLE = 0 AHRS_EKF_TYPE = 3 I still don’t see any changes in MP Quick wind direction and wind velocity, I am wondering if this feature only transmits data when the drone is flying?"
2,Enable Wind Estimation,9,"Hi I am trying to enable the wind estimation feature through Mission Planner, I went through the page *,  in the section "" Viewing Windspeed and Direction in Real-Time"" it says “once enabled”, how to enable this? drone firmware version : Arducoptor V4.3.1 Mission planner : 1.3.79 build 1.3.8378.24878","Yes, only when flying."
2,Enable Wind Estimation,10,"Hi I am trying to enable the wind estimation feature through Mission Planner, I went through the page *,  in the section "" Viewing Windspeed and Direction in Real-Time"" it says “once enabled”, how to enable this? drone firmware version : Arducoptor V4.3.1 Mission planner : 1.3.79 build 1.3.8378.24878","Solved my issue, thank you very much!"
3,Harmonics Filter causing extreme oscillations,1,Anyone can help a newbie out. Building a cinelifter with Arducopter everything flys great when the Harmonic Notch filter is disabled but once I enable it using the FFT instead of esc telemetry to handle noise the quad start to oscillate terribly. I’m flying the Swol 10in x8 configuration. Using the initial parameters. * Log files 1st Harmonic Filter Disabled * Log file with harmonic enabled *,"First set this INS_ACCEL_FILTER,10 you didnt make a mistake, this should be the new default. In the first log with “No Notch” you got an configuration error, the second notch filter is enabled. This is not a big problem, but I would set INS_HNTC2_ENABLE,0 Then in the second log with oscillations you’ve got a different error when you enabled the first notch filter INS_HNTCH_BW,105 this will be filtering out desired movements and all sorts of things, since the FFT-derived frequency is 90Hz. This would have been the cause of the oscillations. I would set this for throttle based notch filter now that you’ve got reasonable values to work with from the live FFT. FFT_ENABLE,0 INS_HNTCH_MODE,1 INS_HNTCH_REF,0.125 INS_HNTCH_FREQ,90 INS_HNTCH_BW,45 INS_HNTCH_FM_RAT,0.7 INS_HNTCH_OPTS,0 FFT was also giving a very wide bandwidth, and I think the reason is there’s quite a weight imbalance. Rear motors are working a lot harder to lift, making a broader spread of frequencies.  So I would better balance the craft then set INS_LOG_BAT_MASK,1 INS_LOG_BAT_OPT,4 (my new favourite value!) and do another test flight to fine tune the HNOTCH values. Let’s see that log"
3,Harmonics Filter causing extreme oscillations,2,Anyone can help a newbie out. Building a cinelifter with Arducopter everything flys great when the Harmonic Notch filter is disabled but once I enable it using the FFT instead of esc telemetry to handle noise the quad start to oscillate terribly. I’m flying the Swol 10in x8 configuration. Using the initial parameters. * Log files 1st Harmonic Filter Disabled * Log file with harmonic enabled *,Thank you. I will make adjustments. Your a life saver !! I’ll follow up tomorrow!!
3,Harmonics Filter causing extreme oscillations,3,Anyone can help a newbie out. Building a cinelifter with Arducopter everything flys great when the Harmonic Notch filter is disabled but once I enable it using the FFT instead of esc telemetry to handle noise the quad start to oscillate terribly. I’m flying the Swol 10in x8 configuration. Using the initial parameters. * Log files 1st Harmonic Filter Disabled * Log file with harmonic enabled *,"Actually maybe just the excessive bandwidth alone might not cause the oscillations, but maybe having that and the seconds notch filter all working in the same space may have caused problems. Normally the first and second notch would be working with different ranges of frequencies."
